Date,total_dollar_oi
02-03-2022,7515791252.319156
03-03-2022,7444480508.8313055
04-03-2022,6855460285.059874
05-03-2022,7033862265.601694
06-03-2022,6678113719.66373
07-03-2022,6402236486.080048
08-03-2022,6618499853.102848
09-03-2022,7187191710.413637
10-03-2022,6705160197.996786
11-03-2022,6723122483.608471
12-03-2022,6833809369.965656
13-03-2022,6861989398.920572
14-03-2022,7072340896.925934
15-03-2022,7151670825.791598
16-03-2022,7467318011.079876
17-03-2022,7594917438.689666
18-03-2022,7913269735.352279
19-03-2022,8138857352.6806965
20-03-2022,7834933389.071419
21-03-2022,7872759543.920167
22-03-2022,8379821980.934301
23-03-2022,8462670371.462113
24-03-2022,9218726605.57465
25-03-2022,8985411762.291086
26-03-2022,9226723148.46715
27-03-2022,9764915644.237606
28-03-2022,9398841804.07827
29-03-2022,9553327496.721474
30-03-2022,9740729650.249672
31-03-2022,9260411161.965857
01-04-2022,9453165853.452442
02-04-2022,9295092611.07854
03-04-2022,9628458635.980604
04-04-2022,9498850074.209627
05-04-2022,9442539305.006922
06-04-2022,8565178122.708604
07-04-2022,8761252314.285786
08-04-2022,8644856609.102787
09-04-2022,8850694904.966568
10-04-2022,8767608701.18562
11-04-2022,8037174144.880556
12-04-2022,8173184741.126057
13-04-2022,8359885892.002001
14-04-2022,8311214544.612327
15-04-2022,8416039818.507721
16-04-2022,8473502725.871223
17-04-2022,8332011761.165288
18-04-2022,8343107855.648569
19-04-2022,8786944535.773739
20-04-2022,8704139672.186893
21-04-2022,8453648131.750391
22-04-2022,8629937973.287863
23-04-2022,8690464662.759077
24-04-2022,8687988943.722706
25-04-2022,8691351912.280571
26-04-2022,8334962340.405819
27-04-2022,8475608913.349045
28-04-2022,8368511479.464476
29-04-2022,8142057697.646818
30-04-2022,7723048765.363043
01-05-2022,7764418627.923963
02-05-2022,7684234790.292776
03-05-2022,7966272306.727689
04-05-2022,8208632114.279058
05-05-2022,7719917921.372314
06-05-2022,7662414946.24014
07-05-2022,7558346048.485293
08-05-2022,7375085221.652844
09-05-2022,5980038840.164668
10-05-2022,5877783347.264557
11-05-2022,4982910837.434963
12-05-2022,4525012132.696003
13-05-2022,4813933694.116433
14-05-2022,4849893564.225248
15-05-2022,5230574119.674534
16-05-2022,4961348777.925865
17-05-2022,5215604272.17491
18-05-2022,5077856207.799282
19-05-2022,5617182264.340429
20-05-2022,5260318583.1073475
21-05-2022,5335401676.800285
22-05-2022,5704480973.801002
23-05-2022,5421115210.742859
24-05-2022,5591910947.7157955
25-05-2022,5508985767.329441
26-05-2022,5351838788.310005
27-05-2022,5316448914.961069
28-05-2022,5513124363.621582
29-05-2022,5756849343.975063
30-05-2022,6207011847.231285
31-05-2022,6113072644.230005
01-06-2022,5545103593.740079
02-06-2022,5765167366.801369
03-06-2022,5672767260.279652
04-06-2022,5687472820.240046
05-06-2022,5724258400.655515
06-06-2022,6348627613.034178
07-06-2022,5875568561.266515
08-06-2022,5531753292.08508
09-06-2022,5738742757.073345
10-06-2022,5777739528.060766
11-06-2022,5614091553.118783
12-06-2022,5104175732.62217
13-06-2022,4485084170.911325
14-06-2022,4470226676.914087
15-06-2022,4664287364.067638
16-06-2022,4339920178.404028
17-06-2022,4504929007.349187
18-06-2022,4265629716.9369526
19-06-2022,4617408924.352967
20-06-2022,4581360011.1155815
21-06-2022,4659408897.664416
22-06-2022,4431985609.071573
23-06-2022,4878747319.399965
24-06-2022,5102210387.27742
25-06-2022,5321076867.135321
26-06-2022,4926960019.823647
27-06-2022,4878215554.680949
28-06-2022,4790435371.159813
29-06-2022,4690865400.970107
30-06-2022,4522578939.411286
01-07-2022,4354034788.356089
02-07-2022,4478927103.821376
03-07-2022,4587739493.765168
04-07-2022,5071161954.106819
05-07-2022,4899996414.123949
06-07-2022,5224145282.2993965
07-07-2022,5781841574.427443
08-07-2022,5426666744.36344
09-07-2022,5495053568.15684
10-07-2022,5144153987.379452
11-07-2022,4863525618.944653
12-07-2022,4727868757.087446
13-07-2022,4955124967.716225
14-07-2022,5298065421.175041
15-07-2022,5448023634.322627
16-07-2022,5747381866.674475
17-07-2022,5504610317.026907
18-07-2022,6074462104.362938
19-07-2022,6224610106.664709
20-07-2022,5810739644.607111
21-07-2022,6037075116.358811
22-07-2022,5969615455.911931
23-07-2022,6004070707.778111
24-07-2022,6303218854.930518
25-07-2022,5437344659.657874
26-07-2022,5564788521.865991
27-07-2022,6467570464.730108
28-07-2022,6787402630.624604
29-07-2022,6745410359.075337
30-07-2022,6707532702.685439
31-07-2022,6525081886.32062
01-08-2022,6349410427.383149
02-08-2022,6194547325.700288
03-08-2022,6312858640.836629
04-08-2022,6317673177.168844
05-08-2022,6828055397.40814
06-08-2022,6887011685.493592
07-08-2022,6905560429.340275
08-08-2022,7338739336.22416
09-08-2022,6850048623.590383
10-08-2022,7347921726.837598
11-08-2022,7648171111.8764715
12-08-2022,7801361367.303238
13-08-2022,8007327717.769538
14-08-2022,7603145897.5172615
15-08-2022,7285982999.816843
16-08-2022,7261853880.575388
17-08-2022,7192211337.023174
18-08-2022,7098846991.936624
19-08-2022,5817638808.799723
20-08-2022,5871595633.013294
21-08-2022,5971666746.808681
22-08-2022,6209828364.318705
23-08-2022,6289151391.21213
24-08-2022,6326002752.368981
25-08-2022,6513825881.313608
26-08-2022,5864164049.089027
27-08-2022,5923508521.878857
28-08-2022,5806222264.000009
29-08-2022,6261400898.203936
30-08-2022,6012191227.363943
31-08-2022,5881156997.309776
01-09-2022,6144613755.90929
02-09-2022,5984211331.076895
03-09-2022,6326791922.094214
04-09-2022,6346611136.746471
05-09-2022,6583252452.642915
06-09-2022,6098327430.480337
07-09-2022,6156543794.600667
08-09-2022,6241097039.02269
09-09-2022,6997122487.775217
10-09-2022,7190158142.861137
11-09-2022,7206393731.86418
12-09-2022,7296478318.729458
13-09-2022,5979707023.722177
14-09-2022,6032235473.696612
15-09-2022,5831739163.767031
16-09-2022,6025980025.852746
17-09-2022,6278960232.509325
18-09-2022,5781233187.758364
19-09-2022,5680979728.112768
20-09-2022,5565380437.252464
21-09-2022,5367770434.496936
22-09-2022,5919899673.226444
23-09-2022,5799569629.135055
24-09-2022,5835587287.084266
25-09-2022,5784402259.675959
26-09-2022,6158091493.049322
27-09-2022,6033974722.1967535
28-09-2022,6150485763.562749
29-09-2022,6193924254.985286
30-09-2022,6043916344.808928
01-10-2022,6146893103.057846
02-10-2022,6097298469.001915
03-10-2022,6447783477.225358
04-10-2022,7462815030.242979
05-10-2022,7140794437.421375
06-10-2022,7103048068.896794
07-10-2022,6823910269.750086
08-10-2022,6750256037.969215
09-10-2022,6862644551.896916
10-10-2022,6825461510.659509
11-10-2022,6864586965.178302
12-10-2022,6815613857.990109
13-10-2022,6722363933.812744
14-10-2022,6564423070.555058
15-10-2022,6525456304.162346
16-10-2022,6477009007.612019
17-10-2022,7003511643.527478
18-10-2022,6788003162.291678
19-10-2022,6773356112.288602
20-10-2022,6851778768.224902
21-10-2022,6785193144.1161175
22-10-2022,7010927235.7856045
23-10-2022,7446961856.529624
24-10-2022,6993268285.648034
25-10-2022,7718328072.783894
26-10-2022,8069020140.21426
27-10-2022,7502867766.539885
28-10-2022,7592069220.32217
29-10-2022,7943601951.703778
30-10-2022,7665251501.342946
31-10-2022,7406204355.490875
01-11-2022,7490270677.095407
02-11-2022,6958558894.199738
03-11-2022,7121440847.69367
04-11-2022,8090879608.775654
05-11-2022,8188410563.853769
06-11-2022,7518498604.41541
07-11-2022,7162743576.150633
08-11-2022,5512133290.327563
09-11-2022,4998697129.425175
10-11-2022,5254394897.038635
11-11-2022,4923982763.882327
12-11-2022,4826353823.739252
13-11-2022,4801794910.489255
14-11-2022,4817012402.850315
15-11-2022,4877484050.220478
16-11-2022,5084988171.856956
17-11-2022,5192530147.679954
18-11-2022,5187111123.414736
19-11-2022,5176274488.462758
20-11-2022,4983702694.299118
21-11-2022,5046850766.662535
22-11-2022,5362058488.698428
23-11-2022,5484476628.123957
24-11-2022,5618661828.988644
25-11-2022,5663533769.141597
26-11-2022,5748007582.845699
27-11-2022,5741642069.050251
28-11-2022,5513497169.85489
29-11-2022,5912124944.417471
30-11-2022,6170298713.044184
01-12-2022,6387846976.069709
02-12-2022,6572602911.768427
03-12-2022,6134621862.358042
04-12-2022,6151724996.194698
05-12-2022,5812541541.858825
06-12-2022,5659402451.217995
07-12-2022,5508225470.372416
08-12-2022,5701687945.190431
09-12-2022,5556551906.27959
10-12-2022,5629459808.440314
11-12-2022,5561221534.102438
12-12-2022,5361671797.192637
13-12-2022,5497938651.549997
14-12-2022,5469374285.020317
15-12-2022,5354150914.79778
16-12-2022,4576354177.471448
17-12-2022,4731168228.775981
18-12-2022,4715138424.582204
19-12-2022,4626894100.923492
20-12-2022,4763781409.31957
21-12-2022,4784587622.108419
22-12-2022,4858092084.997718
23-12-2022,4871648784.145556
24-12-2022,4928090625.662477
25-12-2022,4904356791.892052
26-12-2022,5014796629.560013
27-12-2022,5125463436.49449
28-12-2022,5064940646.846313
29-12-2022,5088019254.951726
30-12-2022,5139339298.382732
31-12-2022,5103435414.593079
01-01-2023,5283919872.821104
02-01-2023,5256239479.879836
03-01-2023,5317072909.438692
04-01-2023,5485576962.0004015
05-01-2023,5482575750.039963
06-01-2023,5673203980.230259
07-01-2023,5714613769.151308
08-01-2023,5794341797.183531
09-01-2023,5821795082.819868
10-01-2023,6132038195.085161
11-01-2023,6123761120.931807
12-01-2023,6294075010.805548
13-01-2023,6584498769.550361
14-01-2023,6016387415.678154
15-01-2023,6084982737.482177
16-01-2023,6205625561.831114
17-01-2023,6341048133.920668
18-01-2023,5973960524.772893
19-01-2023,6276271597.634546
20-01-2023,6727303666.399555
21-01-2023,6556380095.513252
22-01-2023,6577979979.828745
23-01-2023,6620681593.080463
24-01-2023,6135044512.525362
25-01-2023,6278660024.300767
26-01-2023,6383617035.035437
27-01-2023,6563777783.899
28-01-2023,6515076457.388673
29-01-2023,7235130398.317825
30-01-2023,6339099961.770534
31-01-2023,6628208802.897682
01-02-2023,7032103257.451683
02-02-2023,6926036205.475715
03-02-2023,7144836347.897869
04-02-2023,7340491772.399265
05-02-2023,6994371134.912997
06-02-2023,6930611652.787586
07-02-2023,7385184265.212866
08-02-2023,7225156509.739739
09-02-2023,6238716608.378624
10-02-2023,6282672493.137301
11-02-2023,6448486492.689246
12-02-2023,6229601800.420692
13-02-2023,6328457886.313194
14-02-2023,6484770125.0409355
15-02-2023,7196307298.437209
16-02-2023,6723097576.517481
17-02-2023,7197177374.956598
18-02-2023,7437270493.041623
19-02-2023,7268412163.28197
20-02-2023,7695499562.005927
21-02-2023,7455312648.855614
22-02-2023,7138715934.168882
23-02-2023,7073809392.774264
24-02-2023,6888526151.335867
25-02-2023,6904775974.428658
26-02-2023,6988399080.383852
27-02-2023,6809600242.335484
28-02-2023,6766749946.176937
01-03-2023,7244338729.752405
02-03-2023,7366948105.291948
03-03-2023,6492625954.032005
04-03-2023,6357886704.191124
