Date,altcoin_dollar_oi
19-12-2021,3075683008.7503176
20-12-2021,3069352026.7299876
21-12-2021,3305210398.2263184
22-12-2021,3445464864.026788
23-12-2021,3780602085.6187763
24-12-2021,3701655812.73438
25-12-2021,3839003684.892312
26-12-2021,3973083199.038779
27-12-2021,3978229036.2722273
28-12-2021,3443003262.4999638
29-12-2021,3349636130.876549
30-12-2021,3453832387.6151257
31-12-2021,3396062274.4728756
01-01-2022,3654838809.233875
02-01-2022,3664914756.5429645
03-01-2022,3800476244.570156
04-01-2022,3752015002.350087
05-01-2022,3277330578.6131897
06-01-2022,3338628250.2912893
07-01-2022,3190298225.9609995
08-01-2022,3030726577.697007
09-01-2022,3074017917.083611
10-01-2022,3061207635.7217875
11-01-2022,3278935649.082473
12-01-2022,3555285962.98833
13-01-2022,3496625936.3953276
14-01-2022,3636226617.7803373
15-01-2022,3669395714.1953754
16-01-2022,3805349338.620857
17-01-2022,3688129492.1594567
18-01-2022,3611309581.5779347
19-01-2022,3388593883.2375374
20-01-2022,3229816870.70617
21-01-2022,2693516704.570746
22-01-2022,2322428975.16003
23-01-2022,2446292552.448407
24-01-2022,2411694286.8842382
25-01-2022,2477332588.288037
26-01-2022,2383937024.5405397
27-01-2022,2383094011.0428643
28-01-2022,2467076586.8340898
29-01-2022,2579007938.2188616
30-01-2022,2573877265.4074106
31-01-2022,2699828904.767683
01-02-2022,2766735878.338212
02-02-2022,2619927991.3577766
03-02-2022,2701724098.0175867
04-02-2022,2960316505.003129
05-02-2022,3008628891.1291785
06-02-2022,3091937198.462205
07-02-2022,3249446131.2613015
08-02-2022,3215215741.481608
09-02-2022,3247608117.8812866
10-02-2022,3027615924.3639565
11-02-2022,2825131892.1258
12-02-2022,2823209181.510494
13-02-2022,2770121695.587822
14-02-2022,2792459413.539768
15-02-2022,3088747177.0631194
16-02-2022,3042249705.493595
17-02-2022,2752217581.6393394
18-02-2022,2724276788.531668
19-02-2022,2789424008.495345
20-02-2022,2631209039.1593723
21-02-2022,2403743239.2387667
22-02-2022,2518440863.6533155
23-02-2022,2431374899.5740795
24-02-2022,2387165653.667577
25-02-2022,2592912586.162116
26-02-2022,2599145164.251707
27-02-2022,2408053622.8950777
28-02-2022,2685156215.812844
01-03-2022,2813892362.1583242
02-03-2022,2810495482.5046706
03-03-2022,2780121649.425663
04-03-2022,2573877161.4175425
05-03-2022,2692707171.3078074
06-03-2022,2595072550.14085
07-03-2022,2525954789.0375047
08-03-2022,2643880608.718544
09-03-2022,2812277040.4814563
10-03-2022,2662009905.453321
11-03-2022,2733711836.0960307
12-03-2022,2770733938.1928163
13-03-2022,2712723652.2446127
14-03-2022,2823775043.2850842
15-03-2022,2832536943.5833473
16-03-2022,2961332594.75305
17-03-2022,3034617226.0307136
18-03-2022,3111968381.301082
19-03-2022,3274737951.3682356
20-03-2022,3225429643.050534
21-03-2022,3323675691.636588
22-03-2022,3541404486.486677
23-03-2022,3721256249.203479
24-03-2022,3860804302.189549
25-03-2022,3707638798.874789
26-03-2022,3895015609.4435663
27-03-2022,4097333961.3389935
28-03-2022,3959174490.0366445
29-03-2022,4123077004.598687
30-03-2022,4366490072.064572
31-03-2022,4185545497.318431
01-04-2022,4263071886.0978074
02-04-2022,4226983626.5518923
03-04-2022,4372339679.487644
04-04-2022,4227500845.0594215
05-04-2022,4163915447.1333413
06-04-2022,3473674635.8406577
07-04-2022,3659110917.429946
08-04-2022,3513461841.037636
09-04-2022,3639887728.7255487
10-04-2022,3577186624.958901
11-04-2022,3231554536.888856
12-04-2022,3346401219.0370574
13-04-2022,3511081764.774024
14-04-2022,3470183823.5491076
15-04-2022,3577308646.967161
16-04-2022,3631222987.4845343
17-04-2022,3509014003.8897705
18-04-2022,3596709648.123658
19-04-2022,3913129295.18565
20-04-2022,3905088900.154093
21-04-2022,3692002031.6658983
22-04-2022,3708149487.8280563
23-04-2022,3757548931.055749
24-04-2022,3761792747.6162825
25-04-2022,3836591269.766321
26-04-2022,3545627708.5166073
27-04-2022,3758464486.7573204
28-04-2022,3751227921.8951926
