Date,Value
08-11-2021,42.5531914893617
09-11-2021,40.42553191489361
10-11-2021,35.78947368421053
11-11-2021,41.05263157894737
12-11-2021,40.0
13-11-2021,38.94736842105263
14-11-2021,37.89473684210527
15-11-2021,40.0
16-11-2021,37.89473684210527
17-11-2021,37.89473684210527
18-11-2021,35.78947368421053
19-11-2021,38.94736842105263
20-11-2021,37.89473684210527
21-11-2021,34.73684210526316
22-11-2021,43.75
23-11-2021,38.54166666666667
24-11-2021,40.625
25-11-2021,40.20618556701031
26-11-2021,42.2680412371134
27-11-2021,44.329896907216494
28-11-2021,40.20618556701031
29-11-2021,35.714285714285715
30-11-2021,34.69387755102041
01-12-2021,34.69387755102041
02-12-2021,32.6530612244898
03-12-2021,28.57142857142857
04-12-2021,27.55102040816326
05-12-2021,25.510204081632654
06-12-2021,27.55102040816326
07-12-2021,26.53061224489796
08-12-2021,23.46938775510204
09-12-2021,22.22222222222222
10-12-2021,22.22222222222222
11-12-2021,19.19191919191919
12-12-2021,22.22222222222222
13-12-2021,18.181818181818183
14-12-2021,17.17171717171717
15-12-2021,22.22222222222222
16-12-2021,23.0
17-12-2021,24.752475247524753
18-12-2021,22.772277227722775
19-12-2021,26.732673267326735
20-12-2021,27.722772277227726
21-12-2021,25.742574257425744
22-12-2021,25.742574257425744
23-12-2021,26.732673267326735
24-12-2021,25.742574257425744
25-12-2021,28.71287128712871
26-12-2021,30.392156862745097
27-12-2021,32.038834951456316
28-12-2021,30.097087378640776
29-12-2021,29.126213592233007
30-12-2021,29.126213592233007
31-12-2021,29.126213592233007
01-01-2022,28.155339805825243
02-01-2022,31.06796116504854
03-01-2022,37.86407766990291
04-01-2022,48.54368932038835
05-01-2022,38.83495145631068
06-01-2022,40.77669902912621
07-01-2022,37.86407766990291
08-01-2022,43.689320388349515
09-01-2022,50.48543689320388
10-01-2022,42.30769230769231
11-01-2022,44.230769230769226
12-01-2022,44.230769230769226
13-01-2022,50.96153846153846
14-01-2022,48.07692307692308
15-01-2022,51.92307692307693
16-01-2022,58.65384615384615
17-01-2022,59.04761904761905
18-01-2022,54.285714285714285
19-01-2022,44.761904761904766
20-01-2022,35.23809523809524
21-01-2022,32.38095238095238
22-01-2022,27.61904761904762
23-01-2022,26.666666666666668
24-01-2022,19.81132075471698
25-01-2022,21.69811320754717
26-01-2022,22.641509433962266
27-01-2022,20.754716981132077
28-01-2022,20.754716981132077
29-01-2022,18.867924528301888
30-01-2022,21.69811320754717
31-01-2022,18.867924528301888
01-02-2022,18.867924528301888
02-02-2022,18.867924528301888
03-02-2022,19.81132075471698
04-02-2022,17.92452830188679
05-02-2022,20.754716981132077
06-02-2022,24.528301886792452
07-02-2022,24.528301886792452
08-02-2022,22.641509433962266
09-02-2022,22.429906542056074
10-02-2022,18.69158878504673
11-02-2022,15.887850467289718
12-02-2022,17.75700934579439
13-02-2022,14.018691588785046
14-02-2022,16.822429906542055
15-02-2022,19.626168224299064
16-02-2022,18.69158878504673
17-02-2022,13.084112149532709
18-02-2022,12.149532710280374
19-02-2022,14.018691588785046
20-02-2022,6.5420560747663545
21-02-2022,6.5420560747663545
22-02-2022,5.607476635514018
23-02-2022,6.5420560747663545
24-02-2022,5.607476635514018
25-02-2022,5.607476635514018
26-02-2022,8.411214953271028
27-02-2022,5.607476635514018
28-02-2022,5.555555555555555
01-03-2022,5.555555555555555
02-03-2022,5.555555555555555
03-03-2022,5.555555555555555
04-03-2022,7.4074074074074066
05-03-2022,11.11111111111111
06-03-2022,9.25925925925926
07-03-2022,12.037037037037036
08-03-2022,9.25925925925926
09-03-2022,9.25925925925926
10-03-2022,12.962962962962962
11-03-2022,12.962962962962962
12-03-2022,12.962962962962962
13-03-2022,13.88888888888889
14-03-2022,12.037037037037036
15-03-2022,11.11111111111111
16-03-2022,10.185185185185185
17-03-2022,8.333333333333332
18-03-2022,10.185185185185185
19-03-2022,12.037037037037036
20-03-2022,14.814814814814813
21-03-2022,14.814814814814813
22-03-2022,12.962962962962962
23-03-2022,12.037037037037036
24-03-2022,11.926605504587156
25-03-2022,8.256880733944955
26-03-2022,9.174311926605505
27-03-2022,10.091743119266056
28-03-2022,10.091743119266056
29-03-2022,12.844036697247708
30-03-2022,18.34862385321101
31-03-2022,15.454545454545453
01-04-2022,17.272727272727273
02-04-2022,14.545454545454545
03-04-2022,12.727272727272727
04-04-2022,9.090909090909092
05-04-2022,12.727272727272727
06-04-2022,9.090909090909092
07-04-2022,10.81081081081081
08-04-2022,13.513513513513514
09-04-2022,14.414414414414415
10-04-2022,18.01801801801802
11-04-2022,10.81081081081081
12-04-2022,11.711711711711711
13-04-2022,11.711711711711711
14-04-2022,13.513513513513514
15-04-2022,12.612612612612612
16-04-2022,12.612612612612612
17-04-2022,12.612612612612612
18-04-2022,13.513513513513514
19-04-2022,16.216216216216218
20-04-2022,18.01801801801802
21-04-2022,23.423423423423422
22-04-2022,34.234234234234236
23-04-2022,30.630630630630627
24-04-2022,37.83783783783784
25-04-2022,33.33333333333333
26-04-2022,26.126126126126124
27-04-2022,28.82882882882883
28-04-2022,23.423423423423422
29-04-2022,18.01801801801802
30-04-2022,15.315315315315313
01-05-2022,16.216216216216218
02-05-2022,15.315315315315313
03-05-2022,14.414414414414415
04-05-2022,17.117117117117118
05-05-2022,17.117117117117118
06-05-2022,16.216216216216218
07-05-2022,15.315315315315313
08-05-2022,15.315315315315313
09-05-2022,14.414414414414415
10-05-2022,14.414414414414415
11-05-2022,6.25
12-05-2022,4.424778761061947
13-05-2022,6.1946902654867255
14-05-2022,7.964601769911504
15-05-2022,9.734513274336283
16-05-2022,8.849557522123893
17-05-2022,9.734513274336283
18-05-2022,7.964601769911504
19-05-2022,8.849557522123893
20-05-2022,8.849557522123893
21-05-2022,11.504424778761061
22-05-2022,14.15929203539823
23-05-2022,11.403508771929824
24-05-2022,11.403508771929824
25-05-2022,12.280701754385964
26-05-2022,7.894736842105263
27-05-2022,7.017543859649122
28-05-2022,8.771929824561402
29-05-2022,9.649122807017543
30-05-2022,14.035087719298245
31-05-2022,14.035087719298245
01-06-2022,12.280701754385964
02-06-2022,12.280701754385964
03-06-2022,11.403508771929824
04-06-2022,14.035087719298245
05-06-2022,11.403508771929824
06-06-2022,9.649122807017543
07-06-2022,12.280701754385964
08-06-2022,14.912280701754385
09-06-2022,12.280701754385964
10-06-2022,12.280701754385964
11-06-2022,8.771929824561402
12-06-2022,8.771929824561402
13-06-2022,14.782608695652174
14-06-2022,13.91304347826087
15-06-2022,16.379310344827587
16-06-2022,15.517241379310345
17-06-2022,15.517241379310345
18-06-2022,14.655172413793101
19-06-2022,14.655172413793101
